Countries,German,Spanish,French
Afghanistan,Afghanistan,Afganistán,Afghanistan
Åland Islands,Åland-Inseln,Islas Åland,not found
Albania,Albanien,Albania,Albanie
Algeria,Algerien,Argelia,Algérie
American Samoa,Amerikanisch-Samoa,Samoa Americana,not found
Andorra,Andorra,Andorra,Andorre
Angola,Angola,Angola,Angola
Anguilla,Anguilla,Anguila,Anguilla
Antigua and Barbuda,Antigua und Barbuda,Antigua y Barbuda,Antigua-et-Barbuda
Argentina,Argentinien,Argentina,Argentine
Armenia,Armenien,Armenia,Arménie
Aruba,Aruba,Aruba,Aruba
Australia,Australien,Australia,Australie
Austria,Österreich,Austria,Autriche
Azerbaijan,Aserbaidschan,Azerbaiyán,Azerbaïdjan
Bahamas,Bahamas,Bahamas,Bahamas
Bahrain,Bahrain,Bahrein,Bahreïn
Bangladesh,Bangladesch,Bangladesh,Bangladesh
Barbados,Barbados,Barbados,Barbade
Belarus,Weißruthenien,Bielorrusia,Russie Blanche
Belgium,Belgien,Bélgica,Belgique
Belize,Britisch-Honduras,Honduras Británica,Honduras britannique
Benin,Dahomey,Dahomey,Dahomey
Bermuda,Bermuda,not found,not found
Bhutan,Bhutan,Bután,Bhoutan
Bolivia,Bolivien,Bolivia,Bolivie
Bosnia and Herzegovina,Bosnien und Herzegowina,Bosnia y Herzegovina,Bosnie-Herzégovine
Botswana,Botswana,Botswana,Botswana
Brazil,Brasilien,Brasil,Brésil
British Virgin Islands,Britische Jungferninseln,not found,not found
Brunei,Brunei,Brunei,Brunei
Bulgaria,Bulgarien,Bulgaria,Bulgarie
Burkina Faso,Obervolta,Alto Volta,Haute-Volta
Burma,not found,not found,not found
Burundi,Urundi,Urundi,Ouroundi
Cambodia,Kambodscha,Camboya,Cambodge
Cameroon,Kamerun,Camerún,Cameroun
Canada,Kanada,Canadá,Canada
Cape Verde,Kap Verde,Cabo Verde,Cap-Vert
Catalonia,Katalonien,Cataluña,Catalogne
Cayman Islands,Kaimaninseln,not found,not found
Central African Republic,Zentralafrikanische Republik,República Centroafricana,République centrafricaine
Chad,Tschad,Chad,Tchad
Chile,Chile,Chile,Chili
China,China,China,Chine
Christmas Island,Weihnachtsinsel,not found,not found
Cocos (Keeling) Islands,Kokosinseln,Islas Cocos,not found
Colombia,Kolumbien,Colombia,Colombie
Comoros,Komoren,Comoras,Comores
Republic of the Congo,Kongo,Congo,Democratic Republic of the Congo
Cook Islands,not found,not found,not found
Costa Rica,Costa Rica,Costa Rica,Costa Rica
Ivory Coast,Elfenbeinküste,Costa de Marfil,Côte d'Ivoire
Croatia,Kroatien,Croacia,Croatie
Cuba,Kuba,Cuba,Cuba
Cyprus,Zypern,Chipre,Chypre
Czech Republic,Tschechische Republik,República Checa,Tchéquie
Denmark,Dänemark,Dinamarca,Danemark
Djibouti,Dschibuti,Yibuti,Djibouti
Dominica,Dominica,Dominica,not found
Dominican Republic,Dominikanische Republik,República Dominicana,République dominicaine
East Timor,Timor-Leste,Timor Oriental,Timor Oriental
Ecuador,Ecuador,Ecuador,Équateur
Egypt,Ägypten,Egipto,Égypte
El Salvador,El Salvador,El Salvador,Salvador
England,England,Inglaterra,Angleterre
Equatorial Guinea,Äquatorialguinea,Guinea Ecuatorial,Guinée équatoriale
Eritrea,Eritrea,Eritrea,Érythrée
Estonia,Estland,Estonia,Estonie
Ethiopia,Abessinien,Abisinia,Abyssinie
Falkland Islands,Falklandinseln,Islas Malvinas,Îles Malouines
Faroe Islands,Färöer,Islas Feroe,Îles Féroé
Fiji,Fidschi,Fiji,Fidji
Finland,Finnland,Finlandia,Finlande
France,Frankreich,Francia,France
French Guiana,Französisch-Guayana,Guayana Francesa,Guyane
French Polynesia,Französisch-Polynesien,Polinesia Francesa,French Polynesia
French Southern and Antarctic Lands,Französische Süd- und Antarktisgebiete,Tierras Australes y Antárticas Francesas,French Polynesia
Gabon,Gabun,Gabón,Gabon
Georgia,Georgien,Georgia,Géorgie
Germany,Germany,Alemania,Allemagne
Ghana,Ghana,Ghana,Ghana
Gibraltar,not found,not found,not found
Greece,Griechenland,Grecia,Hellade
Greenland,Grönland,Groenlandia,Groenland
Grenada,Grenada,Granada,Grenade
Guadeloupe,not found,Guadalupe,not found
Guam,Guam,Guam,Guam
Guatemala,Guatemala,Guatemala,Guatemala
Guinea,Guinea,Guinea,Guinée
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Guinée-Bissau
Guyana,Guyana,Guyana,Guyana
Haiti,Haiti,Haití,Haïti
Holland,Holland,Holanda,Hollande
Holy See,Apostolischer Stuhl,Santa Sede,Saint-Siège
Honduras,Honduras,Honduras,Honduras
Hong Kong,Hong Kong,Hong Kong,Hongkong
Hungary,Ungarn,Hungría,Hongrie
Iceland,Island,Islandia,Islande
India,Indien,not found,Inde
Indonesia,Indonesien,Indonesia,Indonésie
Iran,Persien,Irán,Iran
Iraq,Irak,"Note: <b>Iraq</b> was formerly known as <b>Mesopotamia</b> in English, Italian, and Spanish, but that term normally applies to a larger historical area.",Irak
Ireland,Irland,Irlanda,Irlande
Israel,Israel,Israel,Israël
Italy,Italien,Italia,Italie
Jamaica,German,Welsh,Jamaïque
Japan,Japan,Japón,Japon
Jordan,Transjordanien,Transjordania,Transjordanie
Kazakhstan,Kasachstan,Kazajstán,Kazakhstan
Kenya,Kenia,Kenia,Kenya
Kiribati,Kiribati,Kiribati,Kiribati
Kuwait,Kuwait,Kuwait,Koweït
Kyrgyzstan,Kirgisistan,Kirguisia,Kirghizistan
Laos,Laos,Laos,Laos
Latvia,Lettland,Letonia,Lettonie
Lebanon,Libanon,Líbano,Liban
Lesotho,Lesotho,Lesoto,Lesotho
Liberia,Liberia,Liberia,Liberia
Libya,Libyen,Libia,Libye
Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein
Lithuania,Litauen,Lituania,Lituanie
Lower Austria,Niederösterreich,Baja Austria,Basse-Autriche
Luxembourg,Luxemburg,Luxemburgo,Luxembourg
Macau,not found,Macao,not found
Macedonia,not found,Macedonia,Macédoine
Madagascar,Madagaskar,Madagascar,Madagascar
Malawi,Malawi,Malawi,Malawi
Malaysia,Malaysia,Malasia,Malaisie
Maldives,Malediven,Maldivas,Maldives
Mali,Mali,Malí,Mali
Malta,Malta,Malta,Malte
Marshall Islands,Marshallinseln,Islas Marshall,Marshall
Martinique,Martinique,Martinica,Martinique
Mauritania,Mauretanien,Mauritania,Mauritanie
Mauritius,Mauritius,Mauricio,Maurice
Mayotte,Mayotte,Mayotte,Mayotte
Mexico,Mexiko,México,Mexique
"Micronesia, Federated States of",Mikronesien,Micronesia,Micronésie
Moldova,Moldau,Moldova,Moldavie
Monaco,Monaco,Mónaco,Monaco
Mongolia,Mongolei,Mongolia,Mongolie
Montenegro,Montenegro,Montenegro,Monténégro
Montserrat,not found,not found,not found
Morocco,Marokko,Marruecos,Maroc
Mozambique,Mosambik,Mozambique,Mozambique
Myanmar,Birma,Birmania,Birmanie
Namibia,Namibia,Namibia,Namibie
Nauru,Nauru,Nauru,Nauru
Nepal,Nepal,Nepal,Népal
Netherlands Antilles,Niederländische Antillen,Antillas Holandesas,not found
Netherlands,Niederlande,Países Bajos,Pays-Bas
New Caledonia,Neukaledonien,Nueva Caledonia,Nouvelle-Calédonie
New Zealand,Neuseeland,Nueva Zelandia,Nouvelle-Zélande
Nicaragua,Nicaragua,Nicaragua,Nicaragua
Niger,Niger,Níger,Niger
Nigeria,Nigeria,Nigeria,Nigeria
Niue,Niue,Niue,Niue
Norfolk Island,Norfolkinsel,not found,not found
North Korea,Nordkorea,Corea del Norte,Corée du Nord
Northern Mariana Islands,Nördliche Marianen,not found,not found
Norway,Norwegen,Noruega,Norvège
